欄位,第一籤,第二籤,第三籤,第四籤,第五籤,第六籤,第七籤,第八籤,第九籤,第十籤,第十一籤,第十二籤,第十三籤,第十四籤,第十五籤,第十六籤,第十七籤,第十八籤,第十九籤,第二十籤,第二十一籤,第二十二籤,第二十三籤,第二十四籤,第二十五籤,第二十六籤,第二十七籤,第二十八籤,第二十九籤,第三十籤,第三十一籤,第三十二籤,第三十三籤,第三十四籤,第三十五籤,第三十六籤,第三十七籤,第三十八籤,第三十九籤,第四十籤,第四十一籤,第四十二籤,第四十三籤,第四十四籤,第四十五籤,第四十六籤,第四十七籤,第四十八籤,第四十九籤,第五十籤,第五十一籤,第五十二籤,第五十三籤,第五十四籤,第五十五籤,第五十六籤,第五十七籤,第五十八籤,第五十九籤,第六十籤
籤號,第一籤,第二籤,第三籤,第四籤,第五籤,第六籤,第七籤,第八籤,第九籤,第十籤,第十一籤,第十二籤,第十三籤,第十四籤,第十五籤,第十六籤,第十七籤,第十八籤,第十九籤,第二十籤,第二十一籤,第二十二籤,第二十三籤,第二十四籤,第二十五籤,第二十六籤,第二十七籤,第二十八籤,第二十九籤,第三十籤,第三十一籤,第三十二籤,第三十三籤,第三十四籤,第三十五籤,第三十六籤,第三十七籤,第三十八籤,第三十九籤,第四十籤,第四十一籤,第四十二籤,第四十三籤,第四十四籤,第四十五籤,第四十六籤,第四十七籤,第四十八籤,第四十九籤,第五十籤,第五十一籤,第五十二籤,第五十三籤,第五十四籤,第五十五籤,第五十六籤,第五十七籤,第五十八籤,第五十九籤,第六十籤
干支,甲子,甲寅,甲辰,甲午,甲申,甲戌,乙丑,乙卯,乙巳,乙未,乙酉,乙亥,丙子,丙寅,丙辰,丙午,丙申,丙戌,丁丑,丁卯,丁巳,丁未,丁酉,丁亥,戊子,戊寅,戊辰,戊午,戊申,戊戌,己丑,己卯,己巳,己未,己酉,己亥,庚子,庚寅,庚辰,庚午,庚申,庚戌,辛丑,辛卯,辛巳,辛未,辛酉,辛亥,壬子,壬寅,壬辰,壬午,壬申,壬戌,癸丑,癸卯,癸巳,癸未,癸酉,癸亥
屬性與方位,屬木利在春天宜其東方,屬木利在春天宜在東方,屬木利在春天宜在東方,屬木利在春天宜其東方,屬木利在春天宜在東北方,屬木利在春天宜在東方,屬木利在春天宜在東方,屬木利在春天宜在東方,屬火利在夏天宜在南方,屬木利在東方宜在春天,屬木利在春天宜在東方,屬火利在夏天宜在南方,屬火利在夏天宜在南方,屬火利在夏天宜在南方,屬火利在夏天宜在南方,屬火利在夏天宜在南方,屬火利在夏天宜在南方,屬火利在夏天宜在南方,屬火利在夏天宜在南方,屬火利在夏天宜在南方,屬火利在南方宜在夏天,屬火利在南方宜在夏天,屬火利在南方宜在夏天,屬火利在南方宜在夏天,屬土利在中央宜在四方,屬土利在中央宜在四方,屬土利在中央宜在四方,屬土利在中央宜在四方,屬土利在中央宜在四方,屬土利在中央宜在四方,屬土利在中央宜在四方,屬土利在中央宜在四方,屬土利在中央宜在四方,屬土利在中央宜在四方,屬土利在中央宜在四方,屬金利在西方宜在秋天,屬金利在西方宜在秋天,屬金利在西方宜在秋天,屬金利在西方宜在秋天,屬金利在西方宜在秋天,屬金利在西方宜在秋天,屬金利在西方宜在秋天,屬金利在西方宜在秋天,屬金利在西方宜在秋天,屬金利在西方宜在秋天,屬金利在西方宜在秋天,屬金利在西方宜在秋天,屬金利在西方宜在秋天,屬水利在冬天宜在北方,屬水利在冬天宜在北方,屬水利在冬天宜在北方,屬水利在冬天宜在北方,屬水利在冬天宜在北方,屬水利在冬天宜在北方,屬水利在冬天宜在北方,屬水利在冬天宜在北方,屬水利在冬天宜在北方,屬水利在冬天宜在北方,屬水利在冬天宜在北方,屬水利在冬天宜在北方
詩句一,日出便見風雲散,於今此景正當時,勸君把定心莫虛,風恬浪靜可行舟,只恐前途命有變,風雲致雨落洋洋,雲開月出見分明,禾稻看看結成完,龍虎相隨在深山,花開結子一半枯,靈雞漸漸見分明,長江風浪漸漸靜,命中正逢羅孛關,財中漸漸見分明,八十原來是太公,不須作福不須求,舊恨重重未改為,君問中間此言因,富貴由命天註定,前途功名未得意,十方佛法有靈通,太公家業八十成,欲去長江水闊茫,月出光輝四海明,總是前途莫心勞,選出牡丹第一枝,君爾寬心且自由,於今莫作此當時,枯木可惜未逢春,漸漸看此月中和,綠柳蒼蒼正當時,龍虎相交在門前,欲去長江水闊茫,危險高山行過盡,此事何須用心機,福如東海壽如山,運逢得意身顯變,名顯有意在中間,意中若問神仙路,平生富貴成祿位,今行到手實難推,一重江水一重山,一年作事急如飛,客到前途多得利,花開今已結成果,功名得意與君顯,君爾何須問聖跡,陽世作事未和同,言語雖多不可從,佛前發誓無異心,東西南北不堪行,功名事業本由天,看君來問心中事,孤燈寂寂夜沉沉,須知進退總虛言,病中若得苦心勞,勸君把定心莫虛,蛇身意欲變成龍,有心作福莫遲疑,月出光輝本清吉
詩句二,光明清淨照世間,看看欲吐百花魁,天註衣祿自有餘,恰是中秋月一輪,勸君作急可宜先,天災時氣心有傷,不須進退問前程,此事必定兩相全,君爾何須背後看,可惜今年汝虛度,凡事且看子丑寅,于今得進可安寧,用盡心機總未休,花開花謝結子成,看看晚景遇文王,用盡心機總未休,家中禍患不臨身,看看祿馬拱前程,心高必然誤君期,只恐命內有交加,大難禍患不相同,月出光輝四海明,前途未遂運未通,前途祿位見太平,求神問聖枉是多,勸君折取莫遲疑,門庭清吉家無憂,虎落平陽被犬欺,如今還在暗中藏,過後須防未得高,任君此去作乾坤,此事必定兩相連,行船把定未遭風,莫嫌此路有重重,前途變怪自然知,君爾何須嘆苦難,君爾身中皆有益,不須祈禱心自安,勸爾且退望高樓,君家門戶定光輝,歌歌暢飲自徘徊,誰知此去路又難,君爾寬心莫遲疑,君爾何故兩相疑,富貴榮華終到老,前途富貴喜安然,自己心中皆有益,雲遮月色正朦朧,風雲靜處未行龍,且看前途得好音,前途此事正可當,不須掛念意懸懸,積善之家慶有餘,萬事清吉萬事成,看看發暗未必全,到底完全總未遭,前途清吉得運時,只恐命內運未通,求名清吉正當時,浮雲總是蔽陰色
詩句三,一向前途通大道,若能遇得春色到,和合重重常吉慶,凡事不須多憂慮,且守長江無大事,命內此事難和合,婚姻皆由天註定,回到家中寬心坐,不知此去相愛悞,漸漸日落西山去,雲開月出照天下,必有貴人相扶助,作福問神難得過,寬心且看月中桂,目下緊事休相問,陽世不知陰世事,須當謹防宜作福,求得貴人多得利,不然且回依舊路,兩家必定防損失,紅日當空常照耀,命內自然逢大吉,如今絲綸常在手,浮雲掃退終無事,但看雞犬日過後,世間若問相知處,財寶自然終吉利,世間凡事何難定,寬心且守風霜退,改變顏色前途去,花果結實無殘謝,黃金忽然變成鐵,戶內用心再作福,若見蘭桂漸漸發,看看此去得和合,命內自然逢大吉,一向前途無難事,看看早晚日過後,寬心且守寬心坐,此中必定無損失,雞犬相聞消息近,任他改求終不過,貴人還在千里外,雖是中間逢進退,君子小人相會合,若遇一輪明月照,於今且看月中旬,心中意欲前途去,暗中終得明消息,此物原來本是鐵,勸君把定莫煩惱,若問中間遲與速,運亨財子雙雙至,若逢陰中有善果,珠玉深藏還未變,去後不須回頭問,到底中間無大事,久病且作寬心坐,此事必能成會合,戶內用心再作福
詩句四,萬事清吉保平安,一洒清吉脫塵埃,時來終遇得明珠,福祿自有慶家門,命逢太白守身邊,更逢一足出外鄉,和合清吉萬事成,妻兒鼓舞樂團圓,他日與我卻無干,勸君不用向前途,郎君即便見太平,凶事脫出見太平,恰是行船上高灘,郎君即便見太平,勸君且守待運通,官法如爐不自由,龍蛇交會得和合,和合自有兩分明,雲開月出自分明,勸君且退莫咨嗟,還有貴人到家堂,茅屋中間百事亨,只恐魚水不相逢,可保禍患不臨身,不須作福事如何,萬事逢春正及時,凡事無傷不用求,千山萬水也遲疑,還君依舊作乾坤,凡事必定見重勞,福祿自有慶家門,何用作福問神仙,看看魚水得相逢,長蛇反轉變成龍,漸漸脫出見太平,祈保分明得平安,決意之中保清吉,即時得意在其間,必然遇得貴人扶,夫妻百歲喜相隨,婚姻夙世結成雙,是非終久未得安,音信月中漸漸知,月出光輝得運時,萬事清吉莫煩惱,十五團圓照滿天,凶事脫出化成吉,只恐前途運未通,君爾何須問重重,也能變化得成金,家門自有保安康,風雲際會在眼前,指日喜氣溢門閭,燒得好香達神明,心中但得枉徒然,心中事務盡消磨,又遇神仙守安居,言語雖多不可從,財寶自然喜相隨,當官分理便有益
歷史典故,包文拯審郭槐,薛交薛葵旁州遇採樓得綉球,崔文德胡鳳嬌到家空成姻婚,趙子龍重圍救阿斗,韓文公過秦嶺遇霜雪凍,劉智遠戰瓜精,尉遲恭掛帥,薛仁貴回家,龍虎相會,奉吟受災,高求楊戩當權,桃花女流勿太歲,三藏被紅孩兒燒,曹公賜雲長馬袍贈金銀,渭水河釣魚武吉挑柴打死人,李世民遊地府,薛公大鬧花燈跌死太子驚死聖駕,秦叔寶救李淵搬家,范丹妻未出身殺九夫,薛丁山著飛刀,朱壽昌辭官尋母,周文王為姜太公拖車,姜子牙為武吉掩卦,文良焦讚救宗寶,鳳嬌觀音寺行香求籤,薛丁山破收飛刀,崔文德請鳳嬌,石存孝遇李克明收為誼子,關雲長斬蔡陽,薛丁山三請樊梨花,董永皇都市仙女送孩兒,王翦入五雷陣,劉備入東吳進贅,曹操潼關遇馬超,吳漢殺妻為母救主,薛仁貴救駕,正德君戲鳳姐,三請孔明先生,孔夫子答小兒,三元會喜萬蔡坤賣書,掩雞拖木屐三伯探英台,姜女送寒衣哭倒萬里長城,三嬸報喜蘇琴回家假不及弟,洪益春留傘愛陳三,薛仁貴困白虎關父子不能相逢,江山立遇永祿君,李三娘井邊會偶才,蜻蜓誤入蜘蛛網,蘇小妹答佛印,小兒遇三煞,宋朝趙匡胤困河東,上帝公收龜蛇,蘇秦回家假不第,念月英求佛嫁良緣,玉堂春求佛嫁良緣,楊戩得病在西軒,龐涓孫臏學法,袁達入昭國關,五鼠精鬧宋朝,楊六使斬子
求財,先大進後小利,有如泉湧,後遇貴人下冬好,在家好出外凶,以待時來,無一事,有成,下半年好家利,無益,上半年空破財下半年五分過不畏,漸漸有收,好運得意,犯活鬼下年無,月光進漸暗少,晚即發,春夏好秋冬呆,必得勤儉,不多,守機作不可,不得,先無後有,先微後進,先失利後微利有時,少有,微利不吉,廣進財源,先輕後得,輕得,新業差舊業平,微利,用心即有,失利虧本,漸有,先凶後吉,遇呆人漸得利,萬黃金,漸有,輕,漸有,有進,難成酉戌日,無有無益,月半未過合時,淡淡,萬可得貴,平平,輕,輕無財,輕淡利,大吉,冬天大吉,浮沉,有利,先無後有,輕,空無,輕得,淡淡,利益好有,淡有
